X;Y;Qaurtier
246363,7077;1632128,487;Darou Rahmane
246290,2369;1632281,539;Darou Rahmane
246072,388;1632299,923;Darou Rahmane
246454,457;1631818,638; 
246210,1334;1631865,222;Fora
246145,5009;1631919,986;Fora
245900,5894;1632575,296;Darou Salam
246104,1475;1632608,377;Abdou Ndiaye
245808,8618;1631965,864; 
245890,9262;1632094,125; 
246073,1918;1632334,637; 
246251,7621;1633036,523; 
246036,4264;1633053,746; 
246076,7892;1632935,317; 
245922,1558;1632869,386; 
245068,4826;1633193,048; 
245082,7859;1633286,96; 
246529,6812;1632231,516;Cité Sicap Mbao
246534,7007;1632293,673;Cité Sicap Mbao
246814,9302;1632413,876; 
246897,8344;1633239,686; 
247011,6482;1633545,373; 
246937,5603;1633502,537; 
245314,71;1633284,518; 
245276,6125;1633192,887; 
246063,0725;1632073,995;Darou Rahmane
246494,9081;1632065,805;Cité Sicap Mbao
246636,7527;1631988,582;Cité Sicap Mbao
246268,7037;1633325,427;Sam Sam 3
246275,3399;1633538,881;Sam Sam 3
246596,6137;1633404,406; 
246564,5987;1633412,354; 
246525,5385;1633431,286; 
246661,2806;1633378,609; 
246485,8401;1632895,925; 
246477,1996;1632931,815; 
246504,1234;1632998,077; 
246805,2093;1633082,316; 
247789,7464;1632012,181;Cité Mandela
246254,5984;1633473,24;Sam Sam 3
245263,5326;1632821,381; 
245322,1714;1632910,806; 
245232,5259;1633057,408; 
245785,7769;1633035,095; 
245896,5106;1633081,523; 
